0,
1,accent
2,access control list
3,access permiss
4,accumul
5,accumul evid
6,accuraci
7,acl
8,activ learn
9,ad hoc inform retriev
10,ad hoc inform retriev effect
11,ad hoc inform retriev system
12,ad hoc inform retriev system evalu
13,ad hoc retriev
14,ad hoc search
15,ad hoc text search
16,add smooth
17,addit structur constraint
18,advanc search interfac
19,aggreg score function
20,aggress featur select
21,algorithm
22,altern queri suggest
23,ambigu term
24,amultinomi naiv bayesmodel
25,analysi
26,analyt program
27,anchor text
28,api
29,applic
30,applic program interfac
31,arithmet
32,array
33,array normal
34,ascii
35,ascii encod
36,ascii text
37,assumpt
38,attribut node
39,augment post list
40,automat classif
41,automat deriv thesauru
42,automat local analysi
43,automat queri expans
44,automat thesauru
45,automat thesauru gener
46,auxiliari index
47,auxiliari index scheme
48,auxiliari structur
49,averag precis
50,bag
51,bag word
52,bag word model
53,bag word represent
54,balanc measur
55,balanc properti
56,bay optim decis rule
57,bay risk
58,bay rule
59,bayesian network
60,bayesian network approach
61,bayesian network base inform retriev system
62,bayesian network model
63,bayesian prior
64,bayesian text classif
65,bayesian updat
66,bayesian updat process
67,bernoulli model
68,bernoulli nb classifi
69,bernoulli nb model
70,bernoulli random variabl
71,beta distribut prior
72,bia
73,bia term
74,bia varianc tradeoff
75,bigram
76,bigram languag model
77,bilingu dictionari
78,bim
79,bim model
80,binari
81,binari classif
82,binari evalu
83,binari independ model
84,binari model
85,binari notion relev
86,binari occurr
87,binari relev
88,binari relev assess
89,binari relev judgment
90,binari relev nonrelev judgment
91,binari represent
92,binari search
93,binari search tree
94,binari term document incid matrix
95,binari term incid vector
96,binari test
97,binari tree
98,binari vector
99,binomi distribut
100,binomi heap data structur
101,bit
102,bit level
103,bit level code
104,bit level encod
105,bit level oper
106,bit manipul
107,bit word
108,bitwis compress
109,biword
110,biword dictionari
111,biword index
112,biword index model
113,biword statist
114,blind relev feedback
115,block
116,block file
117,block sort base index
118,block sort base index algorithm
119,block storag
120,blog
121,bm term weight
122,bm weight
123,bm weight scheme
124,bodi zone
125,boolean
126,boolean combin
127,boolean express
128,boolean function
129,boolean index
130,boolean indic relev
131,boolean indic variabl
132,boolean judgment
133,boolean keyword search
134,boolean match function
135,boolean match score
136,boolean model
137,boolean model ir
138,boolean oper
139,boolean probabilist model
140,boolean queri
141,boolean queri model
142,boolean represent
143,boolean represent document
144,boolean represent queri
